CVEGEO,NOM_ENT,NOMGEO,NOMGEO2,NOM_ENT2
20027,Oaxaca,Chiquihuitlán de Benito Juárez,chiquihuitlan de benito juarez,oaxaca
19025,Nuevo León,General Zuazua,general zuazua,nuevo leon
20116,Oaxaca,San Bartolomé Ayautla,san bartolome ayautla,oaxaca
19026,Nuevo León,Guadalupe,guadalupe,nuevo leon
19037,Nuevo León,Mina,mina,nuevo leon
20155,Oaxaca,San Ildefonso Sola,san ildefonso sola,oaxaca
20163,Oaxaca,San Jerónimo Tecóatl,san jeronimo tecoatl,oaxaca
20119,Oaxaca,San Bartolomé Yucuañe,san bartolome yucuane,oaxaca
20207,Oaxaca,San Juan Mazatlán,san juan mazatlan,oaxaca
20042,Oaxaca,Ixtlán de Juárez,ixtlan de juarez,oaxaca
20046,Oaxaca,Magdalena Jaltepec,magdalena jaltepec,oaxaca
20181,Oaxaca,San Juan Bautista Suchitepec,san juan bautista suchitepec,oaxaca
20120,Oaxaca,San Bartolomé Zoogocho,san bartolome zoogocho,oaxaca
20509,Oaxaca,Santo Domingo de Morelos,santo domingo de morelos,oaxaca
20190,Oaxaca,San Juan Cotzocón,san juan cotzocon,oaxaca
20176,Oaxaca,San Juan Bautista Coixtlahuaca,san juan bautista coixtlahuaca,oaxaca
17027,Morelos,Totolapan,totolapan,morelos
18011,Nayarit,Ruíz,ruiz,nayarit
20017,Oaxaca,La Compañía,la compania,oaxaca
20128,Oaxaca,San Cristóbal Lachirioag,san cristobal lachirioag,oaxaca
20018,Oaxaca,Concepción Buenavista,concepcion buenavista,oaxaca
20109,Oaxaca,San Antonio Nanahuatípam,san antonio nanahuatipam,oaxaca
20051,Oaxaca,Magdalena Teitipac,magdalena teitipac,oaxaca
17034,Morelos,Coatetelco,coatetelco,morelos
19019,Nuevo León,San Pedro Garza García,san pedro garza garcia,nuevo leon
20011,Oaxaca,Calihualá,calihuala,oaxaca
20044,Oaxaca,Loma Bonita,loma bonita,oaxaca
20071,Oaxaca,Pluma Hidalgo,pluma hidalgo,oaxaca
20019,Oaxaca,Concepción Pápalo,concepcion papalo,oaxaca
20047,Oaxaca,Santa Magdalena Jicotlán,santa magdalena jicotlan,oaxaca
20080,Oaxaca,San Agustín Amatengo,san agustin amatengo,oaxaca
20179,Oaxaca,San Juan Bautista Jayacatlán,san juan bautista jayacatlan,oaxaca
20053,Oaxaca,Magdalena Tlacotepec,magdalena tlacotepec,oaxaca
19009,Nuevo León,Cadereyta Jiménez,cadereyta jimenez,nuevo leon
20188,Oaxaca,San Juan Colorado,san juan colorado,oaxaca
17028,Morelos,Xochitepec,xochitepec,morelos
19011,Nuevo León,Cerralvo,cerralvo,nuevo leon
20004,Oaxaca,Asunción Cuyotepeji,asuncion cuyotepeji,oaxaca
19032,Nuevo León,Lampazos de Naranjo,lampazos de naranjo,nuevo leon
20091,Oaxaca,San Andrés Huayápam,san andres huayapam,oaxaca
18016,Nayarit,Tecuala,tecuala,nayarit
20122,Oaxaca,San Bartolo Yautepec,san bartolo yautepec,oaxaca
20144,Oaxaca,San Francisco Jaltepetongo,san francisco jaltepetongo,oaxaca
18018,Nayarit,Tuxpan,tuxpan,nayarit
20077,Oaxaca,Reyes Etla,reyes etla,oaxaca
20015,Oaxaca,Coatecas Altas,coatecas altas,oaxaca
20168,Oaxaca,San José Estancia Grande,san jose estancia grande,oaxaca
20197,Oaxaca,San Juan Guelavía,san juan guelavia,oaxaca
19013,Nuevo León,China,china,nuevo leon
20028,Oaxaca,Heroica Ciudad de Ejutla de Crespo,heroica ciudad de ejutla de crespo,oaxaca
20074,Oaxaca,Santa Catarina Quioquitani,santa catarina quioquitani,oaxaca
20021,Oaxaca,Cosolapa,cosolapa,oaxaca
20133,Oaxaca,San Esteban Atatlahuca,san esteban atatlahuca,oaxaca
19046,Nuevo León,San Nicolás de los Garza,san nicolas de los garza,nuevo leon
19034,Nuevo León,Marín,marin,nuevo leon
20040,Oaxaca,Huautepec,huautepec,oaxaca
18004,Nayarit,Compostela,compostela,nayarit
20124,Oaxaca,San Blas Atempa,san blas atempa,oaxaca
18017,Nayarit,Tepic,tepic,nayarit
20206,Oaxaca,San Juan de los Cués,san juan de los cues,oaxaca
20208,Oaxaca,San Juan Mixtepec,san juan mixtepec,oaxaca
20001,Oaxaca,Abejones,abejones,oaxaca
20025,Oaxaca,Chahuites,chahuites,oaxaca
20049,Oaxaca,Magdalena Ocotlán,magdalena ocotlan,oaxaca
17036,Morelos,Hueyapan,hueyapan,morelos
20097,Oaxaca,San Andrés Solaga,san andres solaga,oaxaca
20084,Oaxaca,San Agustín Etla,san agustin etla,oaxaca
20142,Oaxaca,San Francisco Huehuetlán,san francisco huehuetlan,oaxaca
17032,Morelos,Zacualpan de Amilpas,zacualpan de amilpas,morelos
20210,Oaxaca,San Juan Ñumí,san juan numi,oaxaca
19028,Nuevo León,Higueras,higueras,nuevo leon
19035,Nuevo León,Melchor Ocampo,melchor ocampo,nuevo leon
20137,Oaxaca,San Francisco Cahuacuá,san francisco cahuacua,oaxaca
20151,Oaxaca,San Francisco Teopan,san francisco teopan,oaxaca
20193,Oaxaca,San Juan del Estado,san juan del estado,oaxaca
18007,Nayarit,Jala,jala,nayarit
20123,Oaxaca,San Bernardo Mixtepec,san bernardo mixtepec,oaxaca
20110,Oaxaca,San Antonio Sinicahua,san antonio sinicahua,oaxaca
20174,Oaxaca,Ánimas Trujano,animas trujano,oaxaca
20008,Oaxaca,Asunción Tlacolulita,asuncion tlacolulita,oaxaca
20147,Oaxaca,San Francisco Nuxaño,san francisco nuxano,oaxaca
20031,Oaxaca,Tamazulápam del Espíritu Santo,tamazulapam del espiritu santo,oaxaca
20055,Oaxaca,Mariscala de Juárez,mariscala de juarez,oaxaca
20108,Oaxaca,San Antonio Huitepec,san antonio huitepec,oaxaca
18005,Nayarit,Huajicori,huajicori,nayarit
20130,Oaxaca,San Dionisio del Mar,san dionisio del mar,oaxaca
20005,Oaxaca,Asunción Ixtaltepec,asuncion ixtaltepec,oaxaca
20056,Oaxaca,Mártires de Tacubaya,martires de tacubaya,oaxaca
19012,Nuevo León,Ciénega de Flores,cienega de flores,nuevo leon
19021,Nuevo León,General Escobedo,general escobedo,nuevo leon
19043,Nuevo León,Rayones,rayones,nuevo leon
20092,Oaxaca,San Andrés Ixtlahuaca,san andres ixtlahuaca,oaxaca
20089,Oaxaca,San Andrés Dinicuiti,san andres dinicuiti,oaxaca
19007,Nuevo León,Aramberri,aramberri,nuevo leon
20002,Oaxaca,Acatlán de Pérez Figueroa,acatlan de perez figueroa,oaxaca
20016,Oaxaca,Coicoyán de las Flores,coicoyan de las flores,oaxaca
20148,Oaxaca,San Francisco Ozolotepec,san francisco ozolotepec,oaxaca
20014,Oaxaca,Ciudad Ixtepec,ciudad ixtepec,oaxaca
20153,Oaxaca,San Gabriel Mixtepec,san gabriel mixtepec,oaxaca
20160,Oaxaca,San Jerónimo Silacayoapilla,san jeronimo silacayoapilla,oaxaca
19023,Nuevo León,General Treviño,general trevino,nuevo leon
20061,Oaxaca,Monjas,monjas,oaxaca
20106,Oaxaca,San Antonio Acutla,san antonio acutla,oaxaca
20139,Oaxaca,San Francisco Chapulapa,san francisco chapulapa,oaxaca
20172,Oaxaca,San Juan Achiutla,san juan achiutla,oaxaca
19039,Nuevo León,Monterrey,monterrey,nuevo leon
20198,Oaxaca,San Juan Guichicovi,san juan guichicovi,oaxaca
20095,Oaxaca,San Andrés Paxtlán,san andres paxtlan,oaxaca
20012,Oaxaca,Candelaria Loxicha,candelaria loxicha,oaxaca
20200,Oaxaca,San Juan Juquila Mixes,san juan juquila mixes,oaxaca
20072,Oaxaca,San José del Progreso,san jose del progreso,oaxaca
20180,Oaxaca,San Juan Bautista Lo de Soto,san juan bautista lo de soto,oaxaca
20112,Oaxaca,San Baltazar Chichicápam,san baltazar chichicapam,oaxaca
20219,Oaxaca,San Juan Teitipac,san juan teitipac,oaxaca
20428,Oaxaca,Santa María Quiegolani,santa maria quiegolani,oaxaca
20512,Oaxaca,Santo Domingo Ozolotepec,santo domingo ozolotepec,oaxaca
20252,Oaxaca,San Mateo Peñasco,san mateo penasco,oaxaca
20256,Oaxaca,San Mateo Tlapiltepec,san mateo tlapiltepec,oaxaca
20293,Oaxaca,San Pablo Etla,san pablo etla,oaxaca
20244,Oaxaca,San Martín Toxpalan,san martin toxpalan,oaxaca
20280,Oaxaca,Villa Talea de Castro,villa talea de castro,oaxaca
20435,Oaxaca,Santa María Tepantlali,santa maria tepantlali,oaxaca
20372,Oaxaca,Santa Catarina Yosonotú,santa catarina yosonotu,oaxaca
20387,Oaxaca,Santa Gertrudis,santa gertrudis,oaxaca
20433,Oaxaca,Santa María Temaxcaltepec,santa maria temaxcaltepec,oaxaca
20232,Oaxaca,San Lucas Ojitlán,san lucas ojitlan,oaxaca
20243,Oaxaca,San Martín Tilcajete,san martin tilcajete,oaxaca
20294,Oaxaca,San Pablo Huitzo,san pablo huitzo,oaxaca
20349,Oaxaca,San Sebastián Teitipac,san sebastian teitipac,oaxaca
20352,Oaxaca,San Simón Zahuatlán,san simon zahuatlan,oaxaca
20502,Oaxaca,Santiago Zacatepec,santiago zacatepec,oaxaca
20383,Oaxaca,Santa Cruz Tayata,santa cruz tayata,oaxaca
20479,Oaxaca,Santiago Nejapilla,santiago nejapilla,oaxaca
20249,Oaxaca,San Mateo Yoloxochitlán,san mateo yoloxochitlan,oaxaca
20389,Oaxaca,Santa Inés Yatzeche,santa ines yatzeche,oaxaca
20296,Oaxaca,San Pablo Macuiltianguis,san pablo macuiltianguis,oaxaca
20516,Oaxaca,Santo Domingo Teojomulco,santo domingo teojomulco,oaxaca
20415,Oaxaca,Santa María Ipalapa,santa maria ipalapa,oaxaca
20261,Oaxaca,San Miguel Amatitlán,san miguel amatitlan,oaxaca
20285,Oaxaca,San Miguel Tlacamama,san miguel tlacamama,oaxaca
20459,Oaxaca,Villa de Santiago Chazumba,villa de santiago chazumba,oaxaca
20248,Oaxaca,San Mateo del Mar,san mateo del mar,oaxaca
20305,Oaxaca,San Pedro Comitancillo,san pedro comitancillo,oaxaca
20471,Oaxaca,Santiago Lalopa,santiago lalopa,oaxaca
20411,Oaxaca,Santa María Guelacé,santa maria guelace,oaxaca
20500,Oaxaca,Santiago Yosondúa,santiago yosondua,oaxaca
20497,Oaxaca,Santiago Yaitepec,santiago yaitepec,oaxaca
20273,Oaxaca,San Miguel Peras,san miguel peras,oaxaca
20385,Oaxaca,Santa Cruz Xoxocotlán,santa cruz xoxocotlan,oaxaca
20230,Oaxaca,San Lorenzo Victoria,san lorenzo victoria,oaxaca
20420,Oaxaca,Santa María Lachixío,santa maria lachixio,oaxaca
20224,Oaxaca,San Juan Yucuita,san juan yucuita,oaxaca
20321,Oaxaca,San Pedro Nopala,san pedro nopala,oaxaca
20344,Oaxaca,San Sebastián Coatlán,san sebastian coatlan,oaxaca
20432,Oaxaca,Santa María Temaxcalapa,santa maria temaxcalapa,oaxaca
20478,Oaxaca,Santiago Nacaltepec,santiago nacaltepec,oaxaca
20237,Oaxaca,San Marcos Arteaga,san marcos arteaga,oaxaca
20520,Oaxaca,Santo Domingo Tonalá,santo domingo tonala,oaxaca
20246,Oaxaca,San Mateo Cajonos,san mateo cajonos,oaxaca
20364,Oaxaca,Santa Catarina Juquila,santa catarina juquila,oaxaca
20209,Oaxaca,San Juan Mixtepec,san juan mixtepec,oaxaca
20412,Oaxaca,Santa María Guienagati,santa maria guienagati,oaxaca
20449,Oaxaca,Santa María Zoquitlán,santa maria zoquitlan,oaxaca
20228,Oaxaca,San Lorenzo Cuaunecuiltitla,san lorenzo cuaunecuiltitla,oaxaca
20278,Oaxaca,San Miguel Soyaltepec,san miguel soyaltepec,oaxaca
20338,Oaxaca,Villa de Etla,villa de etla,oaxaca
20217,Oaxaca,San Juan Tamazola,san juan tamazola,oaxaca
20434,Oaxaca,Santa María Teopoxco,santa maria teopoxco,oaxaca
20226,Oaxaca,San Lorenzo Albarradas,san lorenzo albarradas,oaxaca
20251,Oaxaca,San Mateo Nejápam,san mateo nejapam,oaxaca
20279,Oaxaca,San Miguel Suchixtepec,san miguel suchixtepec,oaxaca
20325,Oaxaca,San Pedro Quiatoni,san pedro quiatoni,oaxaca
20414,Oaxaca,Santa María Huazolotitlán,santa maria huazolotitlan,oaxaca
20238,Oaxaca,San Martín de los Cansecos,san martin de los cansecos,oaxaca
20308,Oaxaca,San Pedro Huilotepec,san pedro huilotepec,oaxaca
20526,Oaxaca,Santos Reyes Nopala,santos reyes nopala,oaxaca
20250,Oaxaca,San Mateo Etlatongo,san mateo etlatongo,oaxaca
20255,Oaxaca,San Mateo Sindihui,san mateo sindihui,oaxaca
20326,Oaxaca,San Pedro Sochiápam,san pedro sochiapam,oaxaca
20410,Oaxaca,Santa María Ecatepec,santa maria ecatepec,oaxaca
20489,Oaxaca,Santiago Tetepec,santiago tetepec,oaxaca
20239,Oaxaca,San Martín Huamelúlpam,san martin huamelulpam,oaxaca
20333,Oaxaca,San Pedro Totolápam,san pedro totolapam,oaxaca
20423,Oaxaca,Santa María Nduayaco,santa maria nduayaco,oaxaca
20427,Oaxaca,Santa María Petapa,santa maria petapa,oaxaca
20442,Oaxaca,Santa María Yalina,santa maria yalina,oaxaca
20464,Oaxaca,Santiago Ihuitlán Plumas,santiago ihuitlan plumas,oaxaca
20307,Oaxaca,San Pedro Huamelula,san pedro huamelula,oaxaca
20382,Oaxaca,Santa Cruz Tacahua,santa cruz tacahua,oaxaca
20458,Oaxaca,Santiago Comaltepec,santiago comaltepec,oaxaca
20474,Oaxaca,Santiago Llano Grande,santiago llano grande,oaxaca
20234,Oaxaca,San Lucas Zoquiápam,san lucas zoquiapam,oaxaca
20298,Oaxaca,San Pablo Villa de Mitla,san pablo villa de mitla,oaxaca
20316,Oaxaca,San Pedro Mártir Quiechapa,san pedro martir quiechapa,oaxaca
20438,Oaxaca,Santa María Tlalixtac,santa maria tlalixtac,oaxaca
20390,Oaxaca,Santa Lucía del Camino,santa lucia del camino,oaxaca
20312,Oaxaca,San Pedro Jicayán,san pedro jicayan,oaxaca
20373,Oaxaca,Santa Catarina Zapoquila,santa catarina zapoquila,oaxaca
20375,Oaxaca,Santa Cruz Amilpas,santa cruz amilpas,oaxaca
20441,Oaxaca,Santa María Xadani,santa maria xadani,oaxaca
20453,Oaxaca,Santiago Astata,santiago astata,oaxaca
20363,Oaxaca,Santa Catarina Ixtepeji,santa catarina ixtepeji,oaxaca
20515,Oaxaca,Santo Domingo Tehuantepec,santo domingo tehuantepec,oaxaca
20247,Oaxaca,Capulálpam de Méndez,capulalpam de mendez,oaxaca
20522,Oaxaca,Santo Domingo Xagacía,santo domingo xagacia,oaxaca
20302,Oaxaca,San Pedro Atoyac,san pedro atoyac,oaxaca
20402,Oaxaca,Santa María Cortijo,santa maria cortijo,oaxaca
20283,Oaxaca,San Miguel Tequixtepec,san miguel tequixtepec,oaxaca
20328,Oaxaca,San Pedro Taviche,san pedro taviche,oaxaca
20374,Oaxaca,Santa Cruz Acatepec,santa cruz acatepec,oaxaca
20399,Oaxaca,Santa María Atzompa,santa maria atzompa,oaxaca
20405,Oaxaca,Villa de Chilapa de Díaz,villa de chilapa de diaz,oaxaca
20258,Oaxaca,San Miguel Achiutla,san miguel achiutla,oaxaca
20473,Oaxaca,Santiago Laxopa,santiago laxopa,oaxaca
20498,Oaxaca,Santiago Yaveo,santiago yaveo,oaxaca
20421,Oaxaca,Santa María Mixtequilla,santa maria mixtequilla,oaxaca
20318,Oaxaca,San Pedro Mixtepec,san pedro mixtepec,oaxaca
20336,Oaxaca,San Pedro Yólox,san pedro yolox,oaxaca
20346,Oaxaca,San Sebastián Nicananduta,san sebastian nicananduta,oaxaca
20236,Oaxaca,San Marcial Ozolotepec,san marcial ozolotepec,oaxaca
20268,Oaxaca,San Miguel Ejutla,san miguel ejutla,oaxaca
20431,Oaxaca,Santa María Tecomavaca,santa maria tecomavaca,oaxaca
20472,Oaxaca,Santiago Laollaga,santiago laollaga,oaxaca
20241,Oaxaca,San Martín Lachilá,san martin lachila,oaxaca
20426,Oaxaca,Santa María Peñoles,santa maria penoles,oaxaca
20455,Oaxaca,Santiago Ayuquililla,santiago ayuquililla,oaxaca
20240,Oaxaca,San Martín Itunyoso,san martin itunyoso,oaxaca
20401,Oaxaca,Santa María Colotepec,santa maria colotepec,oaxaca
20341,Oaxaca,San Pedro Yucunama,san pedro yucunama,oaxaca
20484,Oaxaca,Santiago Tamazola,santiago tamazola,oaxaca
20351,Oaxaca,San Simón Almolongas,san simon almolongas,oaxaca
20361,Oaxaca,Santa Catalina Quierí,santa catalina quieri,oaxaca
20466,Oaxaca,Santiago Ixtayutla,santiago ixtayutla,oaxaca
20452,Oaxaca,Santiago Apóstol,santiago apostol,oaxaca
20332,Oaxaca,San Pedro Topiltepec,san pedro topiltepec,oaxaca
20440,Oaxaca,Santa María Totolapilla,santa maria totolapilla,oaxaca
20311,Oaxaca,San Pedro Jaltepetongo,san pedro jaltepetongo,oaxaca
20396,Oaxaca,Santa María la Asunción,santa maria la asuncion,oaxaca
20282,Oaxaca,San Miguel Tenango,san miguel tenango,oaxaca
20425,Oaxaca,Santa María Pápalo,santa maria papalo,oaxaca
20231,Oaxaca,San Lucas Camotlán,san lucas camotlan,oaxaca
20365,Oaxaca,Santa Catarina Lachatao,santa catarina lachatao,oaxaca
20324,Oaxaca,San Pedro Pochutla,san pedro pochutla,oaxaca
20297,Oaxaca,San Pablo Tijaltepec,san pablo tijaltepec,oaxaca
20369,Oaxaca,Santa Catarina Quiané,santa catarina quiane,oaxaca
20437,Oaxaca,Santa María Tlahuitoltepec,santa maria tlahuitoltepec,oaxaca
20272,Oaxaca,San Miguel Panixtlahuaca,san miguel panixtlahuaca,oaxaca
20275,Oaxaca,San Miguel Quetzaltepec,san miguel quetzaltepec,oaxaca
20490,Oaxaca,Santiago Texcalcingo,santiago texcalcingo,oaxaca
20463,Oaxaca,Santiago Huauclilla,santiago huauclilla,oaxaca
20222,Oaxaca,San Juan Yaeé,san juan yaee,oaxaca
20360,Oaxaca,Santa Ana Zegache,santa ana zegache,oaxaca
20359,Oaxaca,Santa Ana Yareni,santa ana yareni,oaxaca
20461,Oaxaca,Santiago del Río,santiago del rio,oaxaca
20493,Oaxaca,Santiago Tillo,santiago tillo,oaxaca
20257,Oaxaca,San Melchor Betaza,san melchor betaza,oaxaca
20337,Oaxaca,San Pedro y San Pablo Ayutla,san pedro y san pablo ayutla,oaxaca
20505,Oaxaca,Santo Domingo Ingenio,santo domingo ingenio,oaxaca
20535,Oaxaca,San Vicente Lachixío,san vicente lachixio,oaxaca
20377,Oaxaca,Santa Cruz Itundujia,santa cruz itundujia,oaxaca
20413,Oaxaca,Santa María Huatulco,santa maria huatulco,oaxaca
20233,Oaxaca,San Lucas Quiaviní,san lucas quiavini,oaxaca
20295,Oaxaca,San Pablo Huixtepec,san pablo huixtepec,oaxaca
20322,Oaxaca,San Pedro Ocopetatillo,san pedro ocopetatillo,oaxaca
20253,Oaxaca,San Mateo Piñas,san mateo pinas,oaxaca
20436,Oaxaca,Santa María Texcatitlán,santa maria texcatitlan,oaxaca
20417,Oaxaca,Santa María Jacatepec,santa maria jacatepec,oaxaca
20274,Oaxaca,San Miguel Piedras,san miguel piedras,oaxaca
20300,Oaxaca,San Pedro Amuzgos,san pedro amuzgos,oaxaca
20460,Oaxaca,Santiago Choápam,santiago choapam,oaxaca
20327,Oaxaca,San Pedro Tapanatepec,san pedro tapanatepec,oaxaca
20347,Oaxaca,San Sebastián Río Hondo,san sebastian rio hondo,oaxaca
20388,Oaxaca,Santa Inés del Monte,santa ines del monte,oaxaca
20477,Oaxaca,Santiago Minas,santiago minas,oaxaca
20424,Oaxaca,Santa María Ozolotepec,santa maria ozolotepec,oaxaca
20407,Oaxaca,Santa María Chimalapa,santa maria chimalapa,oaxaca
20362,Oaxaca,Santa Catarina Cuixtla,santa catarina cuixtla,oaxaca
20386,Oaxaca,Santa Cruz Zenzontepec,santa cruz zenzontepec,oaxaca
20406,Oaxaca,Santa María Chilchotla,santa maria chilchotla,oaxaca
20262,Oaxaca,San Miguel Amatlán,san miguel amatlan,oaxaca
20276,Oaxaca,San Miguel Santa Flor,san miguel santa flor,oaxaca
20468,Oaxaca,Santiago Jocotepec,santiago jocotepec,oaxaca
20270,Oaxaca,San Miguel Huautla,san miguel huautla,oaxaca
20291,Oaxaca,San Pablo Coatlán,san pablo coatlan,oaxaca
20456,Oaxaca,Santiago Cacaloxtepec,santiago cacaloxtepec,oaxaca
20445,Oaxaca,Santa María Yosoyúa,santa maria yosoyua,oaxaca
20309,Oaxaca,San Pedro Ixcatlán,san pedro ixcatlan,oaxaca
20408,Oaxaca,Santa María del Rosario,santa maria del rosario,oaxaca
20469,Oaxaca,Santiago Juxtlahuaca,santiago juxtlahuaca,oaxaca
20491,Oaxaca,Santiago Textitlán,santiago textitlan,oaxaca
20271,Oaxaca,San Miguel Mixtepec,san miguel mixtepec,oaxaca
20301,Oaxaca,San Pedro Apóstol,san pedro apostol,oaxaca
20284,Oaxaca,San Miguel Tilquiápam,san miguel tilquiapam,oaxaca
20444,Oaxaca,Santa María Yolotepec,santa maria yolotepec,oaxaca
20319,Oaxaca,San Pedro Mixtepec,san pedro mixtepec,oaxaca
20292,Oaxaca,San Pablo Cuatro Venados,san pablo cuatro venados,oaxaca
